,total_time,fire_size
772,52 days 01:00:00,1715.0
773,19 days 00:47:00,2470.0
774,49 days 22:30:00,1522.0
775,10 days 03:30:00,1420.0
776,50 days 06:30:00,1000.0
777,25 days 07:30:00,1592.0
778,0 days 06:17:00,2023.0
779,20 days 12:00:00,3245.0
780,20 days 12:00:00,1245.0
781,47 days 12:00:00,5897.0
782,9 days 04:01:00,4217.0
783,10 days 00:40:00,8203.0
784,20 days 12:00:00,3430.0
785,0 days 00:02:00,1638.0
786,0 days 00:02:00,1109.0
787,2 days 02:25:00,7150.0
788,6 days 09:30:00,1221.0
789,15 days 05:00:00,3190.0
790,18 days 07:30:00,3294.0
791,114 days 20:59:00,6000.0
792,57 days 02:02:00,2000.0
793,55 days 02:02:00,22200.0
794,2 days 07:00:00,1000.0
795,0 days 04:05:00,6060.0
796,46 days 20:11:00,1861.0
797,32 days 04:00:00,27720.0
798,2 days 22:00:00,2800.0
799,28 days 02:00:00,11809.0
800,8 days 05:00:00,5153.0
801,18 days 01:30:00,14590.0
802,3 days 06:30:00,1350.0
803,21 days 22:00:00,5500.0
804,7 days 01:00:00,1700.0
805,46 days 00:43:00,6250.0
806,28 days 23:30:00,2000.0
807,12 days 05:30:00,2000.0
808,14 days 04:30:00,1000.0
809,72 days 17:00:00,5133.0
810,71 days 17:00:00,1890.0
811,15 days 07:20:00,4966.0
812,3 days 23:20:00,1000.0
813,2 days 01:30:00,2500.0
814,13 days 08:00:00,2798.0
815,8 days 04:40:00,4321.0
816,8 days 02:00:00,4763.0
817,23 days 00:00:00,1472.0
